nb_candidats_g;note_a_l_ecrit_g;taux_d_acces_6eme_3eme;part_presents_3eme_ordinaire_total;taux_de_reussite_g
133;10.9;96.0;97.0;92.0
150;11.6;88.0;90.0;88.0
93;11.5;97.0;98.0;84.0
72;10.4;88.0;100.0;81.0
144;12.7;97.0;94.0;93.0
210;13.8;85.0;100.0;100.0
33;11.0;71.0;92.0;88.0
119;11.5;92.0;98.0;97.0
126;12.0;94.0;98.0;90.0
127;10.7;90.0;95.0;76.0
185;10.7;92.0;96.0;84.0
90;11.9;88.0;100.0;97.0
103;11.4;89.0;96.0;79.0
158;12.4;97.0;98.0;90.0
63;11.9;97.0;95.0;90.0
63;11.5;99.0;98.0;86.0
78;12.0;92.0;100.0;82.0
65;11.8;96.0;99.0;92.0
81;11.4;94.0;97.0;89.0
66;8.6;88.0;86.0;76.0
124;11.9;91.0;90.0;84.0
34;12.7;66.0;100.0;100.0
75;9.7;91.0;100.0;85.0
148;12.8;84.0;99.0;98.0
108;10.7;92.0;97.0;81.0
97;11.8;93.0;96.0;81.0
113;11.4;100.0;100.0;87.0
147;11.4;94.0;100.0;95.0
92;11.1;94.0;100.0;86.0
139;10.8;88.0;97.0;88.0
85;11.0;97.0;97.0;92.0
46;12.5;65.0;94.0;100.0
138;11.7;91.0;96.0;95.0
40;11.5;89.0;93.0;90.0
55;10.8;91.0;93.0;84.0
109;10.4;87.0;99.0;79.0
50;9.9;87.0;98.0;84.0
117;11.0;95.0;99.0;85.0
113;10.8;81.0;96.0;78.0
105;10.5;91.0;99.0;89.0
101;12.2;92.0;99.0;99.0
43;10.5;75.0;98.0;86.0
68;10.4;87.0;95.0;91.0
42;12.0;87.0;98.0;86.0
131;12.0;91.0;96.0;96.0
72;11.8;96.0;100.0;88.0
143;10.3;83.0;97.0;94.0
211;10.4;85.0;95.0;88.0
89;9.7;85.0;87.0;91.0
118;8.9;78.0;94.0;85.0
249;12.7;90.0;97.0;93.0
175;10.9;87.0;98.0;97.0
160;9.4;91.0;93.0;76.0
146;10.5;90.0;92.0;97.0
117;8.9;87.0;92.0;84.0
122;10.9;94.0;95.0;90.0
251;14.9;91.0;97.0;100.0
133;12.3;90.0;97.0;96.0
169;11.1;97.0;98.0;92.0
132;12.1;93.0;98.0;95.0
66;12.2;96.0;100.0;94.0
31;12.3;87.0;97.0;100.0
62;12.2;96.0;97.0;100.0
113;12.3;93.0;100.0;96.0
61;10.9;92.0;98.0;89.0
132;10.8;92.0;93.0;80.0
127;11.9;93.0;98.0;98.0
54;11.7;78.0;95.0;96.0
122;12.2;94.0;99.0;98.0
61;10.5;82.0;98.0;89.0
43;11.6;90.0;96.0;86.0
61;9.8;85.0;97.0;69.0
52;8.1;91.0;95.0;77.0
67;9.7;87.0;99.0;76.0
59;8.0;91.0;92.0;83.0
70;10.2;95.0;96.0;83.0
40;11.8;95.0;98.0;78.0
33;11.8;84.0;100.0;100.0
60;10.4;90.0;97.0;85.0
105;12.1;96.0;96.0;94.0
80;11.8;87.0;95.0;99.0
129;9.4;94.0;93.0;72.0
81;10.9;94.0;99.0;88.0
87;11.0;90.0;97.0;82.0
121;9.7;91.0;94.0;69.0
144;10.6;84.0;95.0;76.0
76;13.1;91.0;93.0;93.0
55;13.0;78.0;95.0;95.0
150;9.7;87.0;89.0;81.0
188;11.2;94.0;94.0;88.0
154;9.8;87.0;96.0;77.0
58;9.3;94.0;100.0;91.0
53;12.2;83.0;100.0;94.0
33;13.0;87.0;100.0;97.0
30;13.2;100.0;98.0;100.0
55;12.1;91.0;97.0;100.0
107;11.4;85.0;98.0;94.0
147;10.5;91.0;99.0;90.0
111;12.0;91.0;96.0;93.0
74;7.8;86.0;85.0;82.0
105;9.8;89.0;90.0;82.0
123;10.2;92.0;95.0;89.0
60;8.4;73.0;94.0;98.0
167;12.3;89.0;93.0;93.0
77;11.7;92.0;94.0;92.0
